PlayerID,First Name,Last Name,School,Pos,Pos2,Archetype,Arch2,OVR_Grade,Height,Weight,Event,40Yard,Bench,3Cone,Shuttle,Vert,Broad,Wonderlic,ThrowDist,ThrowAcc,InsideRun,OutsideRun,Catching,RouteRun,PassBlock,RunBlock,PassRush,RunStop,ManCov,ZoneCov,LBCov,Kickoff,FG,PuntDist,CoffinPunt,G_Speed,G_Agility,G_Strength,G_ThrowPower,G_ThrowAcc,G_Catch,G_Carry,G_RouteRun,G_RunBlock,G_PassBlock,G_Tackle,G_RunDef,G_PassRush,G_ManCov,G_ZoneCov,G_KickPow,G_KickAcc,G_PuntPow,G_PuntAcc,G_IQ
74861,Charles,Clark,UAB,OT,,Run Blocking,,C+,77,307,AAC Pro Day,5.49,45,7.38,4.64,32,118,0,0.00,0.00,0.00,0.00,0.00,0.00,5.88,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,C,B-,B,A,B,C-,C-,A,C-,B-,D-,C,C-,C,C+,D+,C-,F,C+
75057,Michael,Mcbride,FAU,OT,,Pass Blocking,,B-,75,282,AAC Pro Day,5.71,38,7.22,4.59,34,120,0,0.00,0.00,0.00,0.00,0.00,0.00,7.41,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,B+,B,B,C-,C-,A,C-,C,B,C+,D,D,C,C,F,F,D+,D+,B
74541,William,Huntsman,UTSA,C,,Run Blocking,,C,74,290,AAC Pro Day,5.86,46,7.26,4.28,33,122,0,0.00,0.00,0.00,0.00,0.00,0.00,5.88,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C+,C,C+,D+,C+,B+,C-,F,B,D+,A-,D-,C,B,B-,D-,C+,D-,D-,C+
20926,Antoine,Guzman,ECU,DE,,Balanced,,B,77,276,AAC Pro Day,4.64,44,6.70,3.99,34,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.25,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-,C+,B,B-,B,B+,A-,F,F,F,B,A,C+,C-,B,C+,D-,D+,D-,B+
21607,Lyndon,Hicks,TULS,DE,,Balanced,,C+,76,267,AAC Pro Day,4.70,39,6.97,4.07,35,126,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.88,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,B+,B-,C,A,A+,A-,C-,D+,D+,B,A-,A-,C,C,F,D-,C,C-,A+
23639,Steven,Cimber,TLNE,DE,,Speed Rusher,,B,77,243,AAC Pro Day,4.48,30,6.74,4.08,34,126,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,B,C,C+,B,D-,C-,D,B-,D+,C+,C,A-,F,C+,F,F,C-,D-,B
74323,Michael,Harris,NAVY,DE,,Balanced,,B-,77,271,AAC Pro Day,4.48,36,6.57,3.95,34,122,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.62,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,A+,A,C+,B-,B,A,D+,C,D-,A,B-,B+,B+,C,D,D+,C,C-,A
21422,Chris,Basham,TULS,DT,,Pass Rusher,,B-,73,275,AAC Pro Day,5.29,38,6.68,3.94,36,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.75,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,A-,B+,A-,C,B+,D+,D+,F,D,B,B,A+,B-,B-,D+,D-,D+,C-,A-
74033,Matthew,Wilks,ECU,DT,,Pass Rusher,,C+,74,285,AAC Pro Day,5.00,40,6.68,3.94,34,119,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.62,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,B-,C-,A+,A,C+,A+,D-,C+,C,B-,B,A,A+,C-,B+,B,B-,C-,A-
74662,Armando,Mateo,RICE,DT,,Balanced,,C+,72,291,AAC Pro Day,5.14,36,6.92,4.34,32,120,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B+,C-,B,A,C-,A-,C-,F,C-,D+,B,C,B,B,A+,D+,C+,D+,F,C
19981,Kevin,Robles,TLNE,ILB,,Field General,,A,74,236,AAC Pro Day,4.50,42,6.42,3.85,39,131,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.24,0.00,0.00,8.67,0.00,0.00,0.00,0.00,A+,A+,B+,A+,A,B,A,C-,F,D,A+,B,A+,B,A-,D+,C-,D,B-,A
74534,Thang,Raval,USF,ILB,,Field General,,C+,73,229,AAC Pro Day,4.78,37,6.83,4.15,38,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,7.07,0.00,0.00,0.00,0.00,D,C+,C,B-,D+,C-,D,C,C,C+,B,B-,B,B-,B,F,D+,C,C-,A
20704,Kyle,Witzmann,TULS,OLB,,Pass Rush,,B-,75,255,AAC Pro Day,4.51,33,6.64,4.10,35,123,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,B,C+,B,B,B+,A,F,F,D+,B,B+,A+,B-,C,D-,D-,D-,D-,B
20079,Aaron,Mays,TULS,CB,,Zone Coverage,,A,71,183,AAC Pro Day,4.36,26,6.49,3.93,40,135,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,10.00,0.00,0.00,0.00,0.00,0.00,B+,B+,A,C+,B,D,A-,C,B+,D+,A,C+,B,B-,A+,F,D+,C+,C-,A+
20080,Clint,Sinkfield,TLNE,CB,,Zone Coverage,,A,71,182,AAC Pro Day,4.46,25,6.51,3.94,38,131,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,8.00,0.00,0.00,0.00,0.00,0.00,B+,A-,B,C-,C+,C-,A+,D+,D-,C,B,D-,C,C,A,C,B,A-,C-,A-
21125,Jakob,Sampson,TLNE,CB,FS,Zone Coverage,Zone Coverage,B-,71,183,AAC Pro Day,4.54,19,6.64,3.81,36,130,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.56,8.38,0.00,0.00,0.00,0.00,0.00,A,B,C+,C,C-,C-,A+,F,D-,D+,A+,C-,C,B+,A,B-,C,C-,D-,A
75380,Jeffrey,Walker,UAB,CB,,Ball Hawk,,C+,71,176,AAC Pro Day,5.17,23,6.76,4.19,37,129,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,4.38,0.00,0.00,0.00,0.00,0.00,C-,B-,B,B,B,A,B,D+,D+,D+,A,A-,D,C,C,F,C,F,C-,C-
74052,Ray,Clay,CHAR,FS,,Ball Hawk,,C+,72,200,AAC Pro Day,4.47,21,6.66,4.02,35,122,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.56,6.12,0.00,0.00,0.00,0.00,0.00,B+,A+,C,C-,A+,A+,A-,D-,D+,D+,C+,C,C-,B+,C,D,C-,C-,C-,B
75631,David,Gaddis,UAB,FS,,Man Coverage,,B-,71,196,AAC Pro Day,4.37,31,6.70,4.01,38,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,5.00,0.00,0.00,0.00,0.00,0.00,A+,A,B,B+,A,C,C-,C-,D+,D,C,C,C-,A+,D+,D,D+,D-,D-,C
21774,Dalton,Tilson,FAU,SS,,Man Coverage,,B,72,200,AAC Pro Day,4.47,23,6.90,4.13,35,126,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,5.88,0.00,0.00,0.00,0.00,0.00,B+,B-,C-,C+,C-,D-,C+,C+,D-,F,C,B+,B+,A+,C+,D,F,F,D+,B
75450,Andrew,White,CHAR,SS,,Ball Hawk,,C,72,188,AAC Pro Day,4.68,16,6.85,4.07,35,121,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.89,7.12,0.00,0.00,0.00,0.00,0.00,C,C-,D-,D,D+,A+,C+,F,F,D-,C+,B+,F,C,C-,C-,F,C,D,C-
74113,Travis,Croaker,TEMP,P,,Power,,C+,71,198,AAC Pro Day,5.46,14,8.04,4.54,27,105,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,3.68,10.00,6.21,C+,C+,A+,A,A+,C-,B,D,C-,D+,B,C+,B,B,B,B+,A-,A,C,C-
19987,Mikal,Cingrani,STAN,ILB,,Coverage,,C,74,233,ACC Pro Day,4.53,43,6.72,3.99,38,133,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.24,0.00,0.00,8.73,0.00,0.00,0.00,0.00,A,A+,B,B+,A,B-,A-,C-,F,D-,A+,B,A+,A+,A,F,F,D,D-,C+
20040,Laurent,Gimenez,MIAF,OG,,Pass Blocking,,A,76,283,ACC Pro Day,5.29,42,7.11,4.19,35,125,0,0.00,0.00,0.00,0.00,0.00,0.00,8.00,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B-,A+,B,A,A+,B,A,F,B-,A,F,B,A,A+,A,F,F,A-,C+,A
20052,Caleb,Murphy,UVA,FS,SS,Zone Coverage,Zone Coverage,A,72,196,ACC Pro Day,4.33,26,6.44,3.92,39,131,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.44,10.00,0.00,0.00,0.00,0.00,0.00,A,A+,A,C-,A,C-,B-,C,D+,C-,C+,A,B-,B-,A+,F,B+,F,D+,A+
20187,Cooper,Williams,UVA,QB,,Field General,,B,74,205,ACC Pro Day,4.53,28,6.90,4.38,35,124,0,6.59,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,B,A+,A,A+,A,C,C+,C-,C+,C+,D,D-,A,A+,D-,C-,C+,D,A+
20192,Tavon,Bennett,MIAF,RB,,Balanced,,A,70,222,ACC Pro Day,4.30,38,6.81,4.15,38,128,0,0.00,0.00,8.88,7.50,6.12,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,A,A+,A+,A+,B-,A+,D-,C,B-,A-,C-,B+,A+,A+,C-,D-,D-,C+,A+
20200,Darron,Axford,SMU,OG,,Pass Blocking,,A+,76,289,ACC Pro Day,5.26,49,6.97,4.34,35,122,0,0.00,0.00,0.00,0.00,0.00,0.00,7.76,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A+,A,A-,A+,A,A+,F,A,A+,F,D+,A,A+,A-,B-,D-,C,D+,A+
20302,Kyle,Weber,STAN,DE,,Balanced,,B,76,269,ACC Pro Day,4.51,38,6.78,3.95,36,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,7.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C+,A,B,B,A,B,B,B,B-,C,A+,B+,A,C,B,C-,F,C-,C-,A+
20539,Jace,Smith,LOU,QB,,Scrambler,,C+,74,207,ACC Pro Day,4.39,33,7.03,4.26,36,122,0,6.12,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-,B,B,C,C,B,B-,D+,D-,D-,D+,D+,D+,C+,C-,D+,C-,D-,F,C+
20552,Rashard,Akins,FSU,C,,Balanced,,A-,77,291,ACC Pro Day,5.53,48,7.32,4.20,34,122,0,0.00,0.00,0.00,0.00,0.00,0.00,7.29,7.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,F,B,A+,C,C,C-,C-,F,B+,B-,C+,C+,B,A-,D+,D+,C-,C,D-,B-
20611,Hayes,Adams,SMU,DE,,Speed Rusher,,B-,76,241,ACC Pro Day,4.90,34,7.00,4.05,34,126,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B+,B,A,C,B-,A+,A,D-,C,F,D,B,A-,C-,C-,C-,C,D,D,C+
20725,Dusty,Trufant,PITT,OT,,Pass Blocking,,D+,77,292,ACC Pro Day,5.94,39,7.20,4.66,32,119,0,0.00,0.00,0.00,0.00,0.00,0.00,6.35,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,C-,B,B,B+,A,C,D+,C,B+,B,D-,B,B+,C+,C-,F,F,C,C+
20728,Meyers,Ramirez,CLEM,QB,,Scrambler,,C,72,224,ACC Pro Day,4.41,30,7.03,4.01,34,127,0,4.82,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-,A,B+,C-,B+,C-,B,D-,D+,D+,B,D+,D,C-,B+,D+,F,C-,C-,B
20730,Thon,Russell,GT,CB,,Ball Hawk,,C,71,184,ACC Pro Day,4.51,27,6.72,3.89,38,124,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.56,6.38,0.00,0.00,0.00,0.00,0.00,B,B,C,C,B+,B,B,D-,D-,C,B-,A,B,B-,B-,D-,F,D+,D-,A
20888,Sean,Shields,LOU,DE,,Run Stopper,,C,75,277,ACC Pro Day,4.93,41,6.97,4.01,35,122,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,7.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C+,C-,A,C-,D+,D,A,F,D-,D+,B-,B+,C-,B,B,F,F,C-,D+,B
20956,Lavonte,Murray,CUSE,ILB,,Field General,,C,73,231,ACC Pro Day,4.62,32,6.78,4.26,35,124,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.18,0.00,0.00,6.40,0.00,0.00,0.00,0.00,B,C-,C-,A+,A-,B-,B,F,D+,F,B-,C-,D+,C-,C,D-,D-,C+,D-,A+
21019,Welington,Larsen,UVA,RB,,Speed,,B,69,189,ACC Pro Day,4.42,34,6.72,4.20,39,131,0,0.00,0.00,7.00,6.89,4.38,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,B+,B,B,C,C,B+,D-,C+,B,A+,D-,F,A,D-,F,F,D-,C-,B-
21246,Kris,Mabin,FSU,RB,,Balanced,,A-,69,231,ACC Pro Day,4.36,32,6.59,3.82,40,129,0,0.00,0.00,8.12,7.89,7.75,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B+,A-,A+,C,C,B,A+,D,F,B,A,F,D-,A-,C-,F,C+,B-,D-,A+
21363,Michael,Summers,CUSE,OG,,Pass Blocking,,C+,75,298,ACC Pro Day,5.56,33,7.38,4.47,33,118,0,0.00,0.00,0.00,0.00,0.00,0.00,7.41,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,B+,C,D,C,B,A,C-,C+,B+,F,A-,B+,C-,D+,C,D,F,D+,A
21592,Jake,Lamb,UNC,TE,,Vertical Threat,,D+,74,231,ACC Pro Day,4.51,44,7.03,4.26,37,131,0,0.00,0.00,0.00,0.00,7.00,6.77,0.00,4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,A-,B+,A+,B,A+,B-,C,B,B,C-,C-,B+,D+,C-,B-,D-,F,F,A+
21723,Alex,Grilli,GT,SS,,Run Stopper,,C,72,203,ACC Pro Day,4.70,28,7.00,4.15,35,127,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,4.00,0.00,0.00,0.00,0.00,0.00,A,B+,A+,C-,B,D+,B-,D-,F,F,B,A+,F,B-,D+,D-,F,C-,D+,B-
21751,Logan,Jordan,STAN,SS,,Zone Coverage,,B,71,191,ACC Pro Day,4.51,30,6.61,4.07,40,133,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.33,9.62,0.00,0.00,0.00,0.00,0.00,B,A+,B+,A+,A+,C-,D+,F,D-,F,B,A+,C,C+,A,F,F,D-,D+,A
74192,Paul,Newberry,NCST,C,,Balanced,,B,74,297,ACC Pro Day,5.56,42,7.20,4.49,32,118,0,0.00,0.00,0.00,0.00,0.00,0.00,5.18,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,A+,B,A,A+,B+,B-,D-,B,B,A,C+,A-,D+,B,C-,F,B+,D-,B-
74247,Robert,Roppo,DUKE,OT,,Balanced,,B+,75,293,ACC Pro Day,5.82,45,7.08,4.07,36,123,0,0.00,0.00,0.00,0.00,0.00,0.00,7.06,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A+,A,B+,A+,A-,C+,D,B-,B,A+,C-,C,A-,B,B,C+,C+,C,A
74296,Robert,Gandy,UNC,OLB,,Coverage,,C+,75,230,ACC Pro Day,4.50,42,6.92,3.97,37,129,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.59,0.00,0.00,9.07,0.00,0.00,0.00,0.00,C,B,A-,B-,B,A,A+,B,F,F,A,B,C+,A+,A,D+,C+,C-,D-,B
74353,Richard,Jackson,PITT,DE,,Balanced,,D-,75,274,ACC Pro Day,4.70,31,7.00,4.01,34,122,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B-,B-,C-,A+,A+,A-,A+,C-,D-,D+,A,C-,C+,A,C+,B-,D+,F,D+,B
74482,Oscar,Amaya,BC,DT,,Nose Tackle,,F,73,309,ACC Pro Day,5.86,46,7.45,4.61,33,121,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.75,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,F,C-,A,B-,B,B+,C,F,C+,D-,D+,A-,C,A-,A,D-,C+,D,D+,C+
74920,Daryl,Lightfoot,CUSE,CB,,Zone Coverage,,D-,70,189,ACC Pro Day,4.44,19,6.92,4.19,34,124,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,8.12,0.00,0.00,0.00,0.00,0.00,B+,B-,C,C+,A-,D-,D,F,D-,D,B,B-,D,C-,C,D-,F,D-,D+,C-
75251,Raoul,Coleman,WAKE,QB,,Scrambler,,C,72,228,ACC Pro Day,4.32,32,6.81,4.36,35,124,0,6.00,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B+,C+,B+,C-,C-,F,A,F,D+,F,B,D-,F,D,C-,F,F,D-,D,C-
75398,Michael,Farris,WAKE,RB,,Balanced,,C,70,213,ACC Pro Day,4.38,29,7.05,4.17,34,125,0,0.00,0.00,5.82,7.22,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,B,C,C,C-,B-,C-,F,D-,B+,C-,F,C+,A,C-,D-,F,D+,D+,B+
75484,Rudy,Martinez,GT,CB,,Zone Coverage,,C-,70,182,ACC Pro Day,4.76,23,7.00,3.92,35,125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.44,6.38,0.00,0.00,0.00,0.00,0.00,D+,A,C-,C+,C+,D,B+,F,F,D+,A,A,A,C-,B+,F,C-,F,D-,C-
75633,Alfredo,Diaz,WAKE,RB,,Receiving,,C+,70,197,ACC Pro Day,4.40,25,6.44,4.04,37,129,0,0.00,0.00,6.94,8.22,7.62,4.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-,A+,C-,C+,C,A,C+,A+,D-,B,A,F,A-,C+,C-,F,C,F,D-,A
75682,Giovanni,Sarabia,VT,WR,,Speed,,B,71,190,ACC Pro Day,4.47,23,6.64,4.02,38,127,0,0.00,0.00,0.00,0.00,7.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A,C,D+,C-,D,C,B+,C,C,F,C-,C-,C,B,C,F,F,D-,D,C+
75714,Marty,Walker,NCST,WR,,Route Runner,,B-,69,166,ACC Pro Day,4.66,24,6.57,4.01,38,130,0,0.00,0.00,0.00,0.00,4.75,9.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C,B-,C,C+,D+,D+,B+,A,D+,F,D-,C,C-,B,C-,C-,D-,C,D-,A-
75764,Michael,Hall,SMU,OG,,Run Blocking,,B-,73,312,ACC Pro Day,5.63,39,7.69,4.34,32,121,0,0.00,0.00,0.00,0.00,0.00,0.00,4.59,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,B,B,D+,C,A-,B,F,B,C+,F,A,C,B+,B,F,D-,D-,D+,B+
79080,James,Livingston,VT,RB,,Receiving,,A+,70,197,ACC Pro Day,4.34,36,6.41,3.80,43,139,0,0.00,0.00,9.35,10.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A+,A+,A+,A+,A+,A,A+,C+,A-,A+,B,B-,B,B,A-,C-,C-,C-,A+
20209,Armani,Franco,UCLA,RB,,Power,,A-,72,241,Big Ten Pro Day,4.38,39,7.20,4.15,34,125,0,0.00,0.00,7.76,7.78,6.25,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,B,B-,A+,A+,B-,C+,A+,C+,D+,A,C-,C,B,B-,A+,F,D,C,C,A+
20313,Matt,Van Roten,PNST,RB,,Receiving,,A+,69,199,Big Ten Pro Day,4.30,34,6.33,3.75,43,134,0,0.00,0.00,9.29,9.06,9.88,7.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A+,A+,A+,C-,B,A+,A+,A+,C-,A,A,D+,A-,A-,C+,C-,C,D+,D,A+
