First Name,Last Name,Position,Archetype,Height,Weight,City,High School,State,Croot For,RelativeID,Relative Type,Notes,Preference 1,Preference 2,ethnicity,hair,gender,,,,,,,,,,,,,,,,,,,,,,,,, 
George,Ringo,K,Power,70,177,Mishawaka,Mishawaka High,IN,LordLittlebutt,0,0,Born to kick the drums,Religion,Season Momentum,african,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackmerius,Tacktheritrix,ATH,Bandit,70,215,Boston,BC High,MA,Fireballer34,0,0,"Constantly bullied in elementary school for his name, so he took up football.",Religion,Big City,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,Coles,WR,Speed,72,188,San Jose,Archbishop Mitty HS,CA,Ricky Campbell,0,0,Won first prize in his middle school science fair,Academics,Conference Prestige,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus,Sanders,TE,Vertical Threat,77,252,Detroit,Cass Tech HS,MI,Mightydog135,0,0,"""Prime Time"" Sanders is more than meets the eye and is poised to transform the game",Campus Life,Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick,Pounders,RB,Power,71,222,San Antonio,Brennan,TX,Tryggr,10075,1,A bruiser of a RB. Looking to make his family name a legacy. Will pound his way to victory.,Academics,Big City,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross,Gravel,QB,Balanced,75,225,Manchester,Chorlton,UT,Spoof,0,0,"Loves tea, hates hershey's chocolate",Religion,Media Spotlight,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
King,Charles,SS,Ball Hawk,67,150,Hungtington,Grace Christian School,WV,Newkbomb,0,0,Energetic and positive. What he lacks in size he makes up in speed. A good boi,Program Development,Traditions,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald,Shangerton,OG,Pass Blocking,76,318,Palo Alto,Palo Alto HS,CA,Ricky Campbell,0,0,"A startup, was incubated in his parent's garage with a trust fund",Academics,Conference Prestige,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk,Hetfield,OLB,Speed,74,224,Sparta,Sparta,MI,jedibob5,0,0,Loves watching the movie 300,Facilities,Campus Life,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Hottest,Hand,RB,Speed,73,199,Hoschton,Mill Creek,GA,RiRi,0,0,Fastest hands in Georgia,Big City,Conference Prestige,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill,Mungus,TE,Vertical Threat,76,232,New Orleans,Jesuit HS,LA,bbigguns92,0,0,"Distant relative to ""Hugh Mungus""",Conference Prestige,Facilities,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey,McIntyre,DE,Balanced,75,285,Jacksonville,Englewood HS,FL,Weeze,90928,1,Related to Sean McIntyre,Academics,Large Crowds,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,McIntyre,SS,Ball Hawk,75,210,Jacksonville,Englewood HS,FL,Weeze,90928,1,Related to Sean McIntyre,Academics,Large Crowds,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caden,Brittany,CB,Man Coverage,72,185,Glenview,Glenbrook South HS,IL,nemolee.exe,0,0,"Two-sport athlete, loves baseball and football. Mom works at the local library.",Academics,Campus Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrison,Bryant,CB,Man Coverage,72,211,Irvington,Alma Bryant,AL,nemolee.exe,0,0,"Alabama track star, enjoys playing at RB",Facilities,Large Crowds,african,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,Tennessee,WR,Speed,74,200,Vallejo,Jesse Bethel,CA,Dr_Novella,0,0,Hedgehogs are his favorite animal,Large Crowds,Big City,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atticus,Quinn,WR,Route Runner,68,168,Aiken,Aiken,SC,Dearden,0,0,Redheaded WR,Large Crowds,Media Spotlight,caucasian,b55239,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom,Grossi,WR,Route Runner,72,195,Green Bay,Bay Port HS,WI,Piercewise1,0,0,Gained a cult following on YT before stepping onto a college campus,Media Spotlight,Atmosphere,caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu,Mi,ATH,Bandit,74,220,San Francisco,Abraham Lincoln HS,CA,Piercewise1,0,0,Class clown. Loves Abbott & Costello,Big City,Campus Life,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer,Likely,TE,Receiving,78,260,Knoxville,Knoxville Culinary Academy,TN,tsweezy,0,0,Extremely fickle-hearted and wants to go through colleges like a revolving door,Conference Prestige,Large Crowds,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bum-soo,Kim,CB,Zone Coverage,72,200,Changwon,Gangseo Technical HS,MI,subsequent,0,0,"Former KPOP/R&B singer, relocated to Michigan to pursue his greatest passion",Campus Life,Academics,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,A-ThreeFiftyOne,TE,Receiving,77,220,Toulouse,National HS,MI,subsequent,0,0,Originally went to a technological school in France with a long name. Now wants to play FB,Atmosphere,Facilities,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tane,Babauta,QB,Balanced,76,230,Mangilao,George Washington HS,GM,nobody,0,0,,Large Crowds,Program Development,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Malley,Howard,WR,Possession,72,200,Everglades National Park,Homeschooled,FL,nobody,0,0,"Born O'Malley McIver, claims to be the long lost son of Mad Dog Howard",Facilities,Large Crowds,caucasian,b55239,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean,O'Conner,ILB,Field General,72,220,Excelsior,Edina HS,MN,nobody,84125,1,Little Brother to Jake O'Conner,Large Crowds,Conference Prestige,caucasian,b55239,,,,,,,,,,,,,,,,,,,,,,,,,,
